,University,Sector,City,Province,Address,Phone,Email,Url,Type
126,Sindh Madresatul Islam University,Public,Karachi,Sindh,"Aiwan-e-Tijarat Road, Karachi-74000, Pakistan.","+92-21-99211274, +92-21-992112",info@smiu.edu.pk,http://www.smiu.edu.pk,General
127,Sir Syed University of Engineering & Technology,Private,Karachi,Sindh,"Main University Road, Karachi 75300, Pakistan",+92 21 3498-8000,info@ssuet.edu.pk,http://www.ssuet.edu.pk,Engineering
128,Sukkur Institute of Business Administration,Public,Sukkur,Sindh,"Main Campus, Airport Road, Sukkur",071-5644000-05,shoukat.abbasi@iba-suk.edu.pk,http://www.iba-suk.edu.pk,Business
129,Textile Institute of Pakistan,Private,Karachi,Sindh,"203, Aamir Trade Centre Plot No. 233/1-A, Block 2, PECHS, Shara-e-Quaideen, Karachi. Pakistan.",(92-21) 34549734 / 34549870,info@tip.edu.pk,http://tip.edu.pk/,Textile
130,The Superior College,Private,Lahore,Punjab,"Main Raiwind Road, Lahore","042-111-00-00-78 , 042-3810-42",info@superior.edu.pk,http://www.superior.edu.pk,General
131,The University of Faisalabad,Private,Faisalabad,Punjab,"Sargodha Road, University Town, Faisalabad",+92 041-8868326-30,info@tuf.edu.pk,http://www.tuf.edu.pk,General
132,The Women University,Public,Multan,Punjab,"The Women University Multan Address: Kutchery Campus, L.M.Q. Road, Multan",061-9200811,info@wum.edu.pk,http://www.wum.edu.pk,General
133,University of Agriculture,Public,Faisalabad,Punjab,"University of Agriculture University Main Rd، Faisalabad, Pakistan.",+92 41 9200161-70,contact_us@uaf.edu.pk,http://www.uaf.edu.pk,Agriculture
134,University of Azad Jammu & Kashmir,Public,Muzaffarabad,Azad Kashmir,"University of Azad Jammu & Kashmir, Administration Block, Challa Campus Muzaffarabad, Azad Kashmir",+92-5822-960466-470,info@ajku.edu.pk,http://www.ajku.edu.pk,General
135,University of Balochistan,Public,Quetta,Balochistan,"University of Balochistan, Sariab Road Quetta.",+92-81-9211124,registrar@um.uob.edu.pk,http://www.uob.edu.pk,General
136,University of Central Punjab,Private,Lahore,Punjab,"Khayaban-e-Jinnah Road, Johar Town, Lahore.","+92-42-35954890, +92-42-358800",info@ucp.edu.pk,http://www.ucp.edu.pk,General
137,University of Education,Public,Lahore,Punjab,"College Road, Township, Lahore.",+92-42-99262223-4,registrar@ue.edu.pk,http://www.ue.edu.pk,General
138,University of Engineering & Technology,Public,Peshawar,Khyber Pakhtunkhwa,"University of Engineering & Technology, Peshawar, Pakistan",(+92-91)9216796-8,registrar@uetpeshawar.edu.pk,http://www.uetpeshawar.edu.pk,Engineering
139,University of Engineering & Technology,Public,Lahore,Punjab,"UNIVERSITY OF ENGINEERING & TECHNOLOGY, G.T. Rd, Lahore 54890, Pakistan","+92-42-99250201, +92-42-990292",registrar@uet.edu.pk,http://www.uet.edu.pk,Engineering
140,University of Engineering & Technology,Public,Taxila,Punjab,University of Engg. & Technology (UET) Taxila.,+92 51-9047-400,nfo@uettaxila.edu.pk,http://www.uettaxila.edu.pk,Engineering
141,University of Fata,Public,Kohat,Khyber Pakhtunkhwa,"Govt Degree College Darra Adam Khel Akhurwal F.R Kohat N-55, Pakistan.","+92-91-9218182, +92-91-9216427",info@fu.edu.pk,http://www.fu.edu.pk/,General
142,University of Gujrat,Public,Gujrat,Punjab,"University of Gujrat Hafiz Hayat Campus Jalalpur Road Gujrat, Pakistan.",+92 (53) 3643112,info@uog.edu.pk,http://www.uog.edu.pk,General
143,University of Health Sciences,Public,Lahore,Punjab,"University of Health Sciences, Khayaban-e-Jamia Punjab, Lahore-54600","+92-42-99231304-09, +92-42-111",info@uhs.edu.pk,http://www.uhs.edu.pk,Medical
144,University of Karachi,Public,Karachi,Sindh,"University of Karachi Main University Road Karachi - 75270 Sindh, Pakistan",92.21.99261300-07,info@uok.edu.pk,http://www.uok.edu.pk,General
145,University of Lahore,Private,Lahore,Punjab,"UNIVERSITY OF LAHORE,1-K.M, Raiwind Road, Lahore.",+92 42 111-865-865,info@uol.edu.pk,http://www.uol.edu.pk,General
146,University of Management & Technology,Private,Lahore,Punjab,"University of Management and Technology , C-II Johar Town Lahore",+92 42 35212801-10,admissions@umt.edu.pk,http://www.umt.edu.pk,General
147,University of Peshawar,Public,Peshawar,Khyber Pakhtunkhwa,"Old Jamrud Road, Peshawar.",+92-91-9216701,registrar@uop.edu.pk,http://www.uop.edu.pk/,General
148,University of Sargodha,Public,Sargodha,Punjab,"University of Sargodha, University Road Sargodha 40100 Punjab,Pakistan",+92-48-9230811-15,info@uos.edu.pk,http://www.uos.edu.pk,General
149,University of Science & Technology,Public,Bunnu,Khyber Pakhtunkhwa,"University of Science & Technology, Bannu, Khyber Pakhtunkhawa (KPK), (Pakistan)",+92-928-633817-18,registrar@ustb.edu.pk,http://www.ustb.edu.pk,General
150,University of Sindh,Public,Jamshoro,Sindh,"Allama I.I.Kazi Campus, University of Sindh, Jamshoro-76080, Sindh, Pakistan.",+92-22-9213-181-90,info@usindh.edu.pk,http://www.usindh.edu.pk,General
151,University of South Asia,Private,Lahore,Punjab,"47-Tufail Road, Lahore Cantt.","+92-42-36672943, +92-42-366 50",help@usa.edu.pk,"+92-42-36672943, +92-42-366 50983",General
152,University of Swabi,Public,Swabi,Khyber Pakhtunkhwa,"University of Swabi, Khyber Pakhtunkhwa",+92-938-490238,adminofficer@uoswabi.edu.pk,http://www.uoswabi.edu.pk,General
153,University of Swat,Public,Swat,Khyber Pakhtunkhwa,"G.T Road, Odigram, Swat, Khyber Pakhtunkhwa.",+92-946-924 00060946,registrar@uswat.edu.pk,http://www.uswat.edu.pk/,General
154,University of Veterinary & Animal Sciences,Public,Lahore,Punjab,"University of Veterinary and Animal Sciences - UVAS Syed Abdul Qadir Jillani (Out Fall) Road, Lahore - Pakistan","92-42-99211374, 99211449",helpline@uvas.edu.pk,http://www.uvas.edu.pk,General
155,University of Wah,Private,Wah Cantt,Punjab,"Quaid Avenue, The Mall. Wah Cantt.","051-9157000, 051-451425256-7",info@uow.edu.pk,http://www.uow.edu.pk/,General
156,University of The Punjab,Public,Lahore,Punjab,"P.O. Box No. 54590. Lahore, Pakistan.","+92-42-99231098-9, +92-42-3584",registrar@pu.edu.pk,http://www.pu.edu.pk,General
157,Virtual University of Pakistan,Public,Lahore,Punjab,"M.A. Jinnah Campus, Defence Road, Off Raiwind Road, Lahore, Pakistan.",+92-42-99203901,registrar@vu.edu.pk,http://www.vu.edu.pk/,General
158,Women University Mardan,Public,Mardan,Khyber Pakhtunkhwa,http://www.wumardan.edu.pk,(0937) 871 416,pstovc@wumardan.edu.pk,http://www.wumardan.edu.pk,General
159,"Women University, Swabi",Public,Swabi,Khyber Pakhtunkhwa,"WOMEN UNIVERSITY, SWABI",+92 0938-224222,info@wus.edu.pk,http://www.wus.edu.pk/,General
160,Zia-ud-din University,Private,Karachi,Sindh,"4/B, Shahra-e-Ghalib, Block 6, Clifton, Karachi 75600.",(9221) 35862937-9,info@zu.edu.pk,ZIA-UD-DIN UNIVERSITY,General
161,Lahore School of Economics,Private,Lahore,Punjab,"Intersection Main Boulevard Phase VI DHA, Burki 53200, Lahore.",+ 92 42 36560675,qaisar@lahoreschool.edu.pk,http://www.lahoreschoolofeconomics.edu.pk,General
162,"Lasbela University of Agriculture, Water & Marine Sciences",Public,Lasbela,Balochistan,"Lasbela University of Agriculture, Water and Marine Sciences, Uthal, District Lasbela",0853-610846,pvc@luawms.edu.pk,http://www.luawms.edu.pk/,Agriculture
163,University of Turbat,Public,Jazan,Punjab,"Overseas Colony, Airport Road, Turbat Balochistan.",+92-85-414498,registrar@uot.edu.pk,http://www.uot.edu.pk,General
164,Aga Khan University,Private,Karachi,Sindh,"First Floor, Juma Building The Aga Khan University P.O. Box 3500, Stadium Road, Karachi 74800, Pakistan",+92 21 3493 0051,mc.ea@aku.edu,https://www.aku.edu/,Medical
165,Al-khair University (banned By Hec),Private,Muzzaffarabad,Azad Kashmir,"University Road, Bhimber (AJK)",05828-454085,info@alkhair.edu.pk,http://alkhair.edu.pk,General
166,Barret Hodgson University,Private,Karachi,Sindh,"The Salim Habib Campus, NC-24, Deh Dih, Korangi Creek, Karachi",92 21 35122931-35,info@bhu.edu.pk,http://www.bhu.edu.pk/,General
167,Fatima Jinnah Women University,Public,Rawalpindi,Punjab,"The Mall, Old Presidency, Rawalpindi","+92-51-9292901,+92-51-9292902",bhs@fjwu.edu.pk,http://www.fjwu.edu.pk,General
168,Gambat Institute of Medical Sciences,Public,Khairpur,Sindh,"Gambat Institute of Medical Sciences, Gambat Station Road, Pakistan.",92-243-640160,mailus@gims.edu.pk,http://www.gims.edu.pk/,Medical
169,"Global Institute, Lahore [hec-noc Suspended]",Private,Lahore,Punjab,"3-Aurangzeb Block, New Garden Town, Lahore.",+92-42-35857924-6,info@global.edu.pk,http://global.edu.pk/,General
170,Imperial College of Business Studies,Private,Lahore,Punjab,"Canal Bank Road Near Bahria Chowk, Lahore",+92-42-35978525-32,admissions@imperial.edu.pk,http://imperial.edu.pk/,General
171,Mohi-ud-din Islamic University,Private,Muzzaffarabad,Azad Kashmir,"Mohi-ud-Din Islamic University, Nerian Sharif AJ&K.",05825-450282-3,info@miu.edu.pk,http://miu.edu.pk/,General
172,Pakistan Military Academy,Public,Abbottabad,Khyber Pakhtunkhwa,"Kakul Road, Abbottabad Pakistan",92 (0)992 - 363643,missing@pma.edu.pk,http://www.pma.edu.pk,General
173,Pakistan Naval Academy,Public,Karachi,Sindh,"Pakistan Naval Academy Karachi, Pakistan",0347 1891949,email@paknavy.gov.pk,http://www.paknavy.gov.pk,General
174,"Preston Institute of Management, Science & Technology (banned For Admissions W.e.f 10-06-2017)",Private,Karachi,Sindh,"177/2, IEP Building, Karachi, Pakistan",0921-32789888-90,admissions@pimsat-khi.edu.pk,https://pimsat-khi.edu.pk,General
175,"Shuhada-e-army Public School University of Technology, Nowshera",Public,Nowshera,Khyber Pakhtunkhwa,"Ex-Adamjee Paper and Board Mills, Amangarh, Nowshera.",0923-560301,missing@uotnowshera.edu.pk,http://uotnowshera.edu.pk/,General
176,University of Kotli Azad Jammu And Kashmir,Public,Muzzaffarabad,Azad Kashmir,"Kotli, Azad Kashmir,",+92-5826-960042,vice.chancellor@uokajk.edu.pk,http://www.uokajk.edu.pk,General
177,"University of Baltistan, Skardu",Public,Skardu,Gilgit-Baltistan,"University of Baltistan, Skardu",05815-960070,info@kiu.edu.pk,https://www.kiu.edu.pk/page/skardu-campus,General
178,University of Loralai,Public,Lasbela,Balochistan,"College Road, Loralai at Loralai Zhob Division, Balochistan.",(0824) 410782,info@uoli.edu.pk,http://www.uoli.edu.pk/,General
179,University of Malakand,Public,Mardan,Khyber Pakhtunkhwa,"Chakdara, Dir, Lower, Malakand Khyber Pakhtunkhwa",0945-763023 Ext 3011,missinginfo@uom.edu.pk,http://www.uom.edu.pk,General
180,University of Poonch,Public,Rawalakot,Azad Kashmir,"B-65, Housing Scheme, Rawalakot (Azad Kashmir)",+92 5824-960053,registrar@upr.edu.pk,http://www.upr.edu.pk/,General
181,Women University of Azad Jammu & Kashmir,Public,Mirpur (AK),Azad Kashmir,"Women University of Azad Jammu & Kashmir, Bagh",058-23-960044,info@wuajk.edu.pk,http://www.wuajk.edu.pk/,General
182,Shaheed Benazir Bhutto University,Public,Amilcar,Unknown,"Sheringal, Upper Dir, Khyber Pakhtunkhwa",+92-944-885529,registrar@sbbu.edu.pk,http://www.sbbu.edu.pk,General
183,Khushal Khan Khattak University,Public,testcity,Unknown,"Opposite Tableghi markaz, Karak.","+92-927- 291018, 291026",vc@kkkuk.edu.pk,http://www.kkkuk.edu.pk/,General
184,"Benazir Bhutto Shaheed University of Technology & Skill Development, Khairpur Mirs",Public,Khairpur,Sindh,Station Road Near Mil Colony Khairpur MiRS Khairpur Khairpur Mirs,0243-9280168,missingemail@bbsut.edu.pk,https://www.underprocess.pk/,General
185,Bacha Khan University,Public,testcity,Unknown,"Bacha Khan University, Palosa, Charsadda.",091-6540116,webmaster@bkuc.edu.pk,http://www.bkuc.edu.pk/,General
186,National University of Technology (nutech),Public,Islamabad,Islamabad Capital Territory,"National University of Technology (NUTECH), IJP Road, Sector I-12, Islamabad.",+92-51-5476768,info@nutech.edu.pk,https://nutech.edu.pk/,General
187,Shifatameer-e-millat University,Private,Islamabad,Islamabad Capital Territory,"Shifa Tameer-e-Millat University Pitras Bukhari Road, H-8/4 Islamabad",+92-51-8464214,info@stmu.edu.pk,https://stmu.edu.pk/,General
188,"Cholistan University of Veterinary And Animal Sciences, Bahawalpur",Public,Bahawalpur,Punjab,"Cholistan University of Veterinary & Animal Sciences, Near DHA, Bahawalpur, Punjab-Pakistan",+92-062- 9255716,registrar@cuvas.edu.pk,http://www.cuvas.edu.pk,General
189,"Faisalabad Medical University, Faisalabad",Public,Faisalabad,Punjab,"Sargodha Road, Faisalabad-Punjab Pakistan",+92-41-9210080,vcfmuf@gmail.com,http://www.pmc.edu.pk/,Medical
190,Institute For Art And Culture,Private,Lahore,Punjab,"Mian Riwand Road, Lahore Pakistan",+92-42-32590040-7,info@iac.edu.pk,https://iac.edu.pk/,General
191,Nishtar Medical University Multan,Public,Multan,Punjab,"Nishtar Medical University (NMU), Nishtar Road, Gillani Colony, Multan Punjab, Pakistan",+92-61-9200231-35,nishtarmed@gmail.com,http://www.nmch.edu.pk,Medical
192,"Punjab Tianjin University of Technology, Lahore",Public,Lahore,Punjab,"Punjab Tianjin University of Technology (PTUT), Near Green Town Police station, Township, Lahore, Pakistan",+92-42-9933 2438,info@ptut.edu.pk,http://ptut.edu.pk/,General
193,"Emaan Institute of Management & Sciences, Karachi",Private,Karachi,Sindh,"E-136, Abul Hassan Asphani Road, Block-07 Gulshan-e-Iqbal, Karachi, 74200, Pakistan",+92-21-34999200-2,info@emaan.edu.pk,http://www.emaan.edu.pk,General
194,"Government College University, Hyderabad",Public,Hyderabad,Sindh,"Opposite Pinyari Police Station, Kali Mori, Hyderabad Sindh, Pakistan",+92-22-2111877,info@gcuh.edu.pk,http://www.gcuh.edu.pk,General
195,Ilma University,Private,Karachi,Sindh,"Main Ibrahim Hydri Road, Korangi Creek, Karachi.",+92-21-35120462,info@ilmauniversity.edu.pk,http://www.ibt.edu.pk,General
196,Sohail University,Private,Karachi,Sindh,"Sohail University, 22-23 Shaheed-e-Millat Road, Karachi-Sindh",+92-21-34931886-9,baqarnawab@hotmail.com,http://www.sohailuniversity.edu.pk,General
197,Abottabad University of Science And Technology (aust),Public,Abbottabad,Khyber Pakhtunkhwa,"Captain Akaash Rabbani Shaheed Road, Tehsil Havelian, District Abbottabad, Khyber Pakhtunkhwa",+92-992-402117,info@aust.edu.pk,http://aust.edu.pk,Engineering
198,"The University of Agriculture, Peshawar",Public,Peshawar,Khyber Pakhtunkhwa,"The University of Agriculture, Peshawar Pakistan",+92-91-9221263,registrar@aup.edu.pk,http://www.aup.edu.pk/,Agriculture
199,"University of Engineering & Technology (uet), Mardan",Public,Mardan,Khyber Pakhtunkhwa,"University of Engineering & Technology (UET), Mardan",+92-937-9230295,registrar@uetmardan.edu.pk,http://www.uetmardan.edu.pk,Engineering
200,University of Science & Technology,Public,Bunnu,Khyber Pakhtunkhwa,"Main Campus Township, Bannu.",+92-928-633823,registrar@ustb.edu.pk,https://www.ustb.edu.pk/,General
201,Brains Institute Peshawar,Private,Peshawar,Khyber Pakhtunkhwa,"Phase III Chowk, Jamrud Road, Peshawar",+92-91-5611637,info@brains.edu.pk,http://brains.edu.pk,General
202,"The Bolan University of Medical And Health Sciences, Quetta",Public,Quetta,Balochistan,"The Bolan University of Medical & Health Sciences. Brewery Road,Quetta Balochistan, Pakistan",+92-81-9213070,registrar@bumhs.edu.pk,http://www.bumhs.edu.pk/,Medical
203,"University of Sufism And Modern Sciences, Bhitshah Sindh",Public,Bhit Shah,Sindh,Mian Campus; Bhit Shah,+92-22-2762415,dep.registrar@usms.edu.pk,http://usms.edu.pk/,General
204,Shaheed Benazir Bhutto University,Public,Upper Dir,Khyber Pakhtunkhwa,"Sheringal, Upper Dir, Khyber Pakhtunkhwa",+92-944-885527,registrar@sbbu.edu.pk,https://sbbu.edu.pk/,General
205,The University of Lakki Marwat,Public,Lakki Marwat,Khyber Pakhtunkhwa,"The University of Lakki Marwat GPGC (Boys), District Lakki Marwat Khyber Pakhtunkhwa",+92-969-511819,ulm_2017@outlook.com,http://www.ulm.edu.pk,General
206,University of Buner,Public,Buner,Khyber Pakhtunkhwa,"University of Buner Sowari, Buner, Khyber Pakhtunkhwa",+92-939-555211,registrar@ubuner.edu.pk,https://www.ubuner.edu.pk/,General
207,University of Chitral,Public,Chitral,Khyber Pakhtunkhwa,"University of Chitral Seen, Lasht Chitral, Khyber Pakhtunkhwa",+92-943-412401,registrar@uoch.edu.pk,http://www.uoch.edu.pk,General
208,University of Haripur,Public,Haripur,Khyber Pakhtunkhwa,"Hattar Road, Near Swat Chowk, Tehsil & District Haripur.",+92-995-615393,registrar@uoh.edu.pk,http://www.uoh.edu.pk/,General
209,"Pak-austria Fachhochschule Institute of Applied Sciences And Technology, Haripur",Public,Haripur,Khyber Pakhtunkhwa,"Mang, Haripur-Khyber Pakhtunkhwa Pakistan",+92-995-645112-18,info@paf-iast.edu.pk,https://www.paf-iast.edu.pk/,General
