,Univeristy/Institute,Sector,City,Address,Phone,Other details
109,SARDAR BAHADUR KHAN WOMEN UNIVERSITY,Public,Quetta,"SBK Women's University, Brewery Road Quetta, Balochistan,Pakistan",+92(081) 9213303,Email: vc@sbkwu.edu.pk Fax:+92(081)9213308 URL:http://www.sbkwu.edu.pk
110,SARHAD UNIVERSITY OF SCIENCE & INFORMATION TECHNOLOGY,Private,Peshawar,"Sarhad University Landi Akhun Ahmad, Hayatabad Link. Ring Road, Peshawar, Pakistan",+92-91-5230931,Email: registrar@suit.edu.pk Fax: URL:http://www.suit.edu.pk
111,SHAH ABDUL LATIF UNIVERSITY,Public,Khairpur,"Old National Highway, Khairpur Mir's, 66020 Sindh, Pakistan",+92-243-9280061-62,Email: info@salu.edu.pk Fax:92-243-9280-060 URL:http://www.salu.edu.pk
112,SHAHEED BENAZIR BHUTTO CITY UNIVERSITY,Private,Karachi,"Plot F-201 1st floor & 2nd Floor, Near Site Philips Chowrangi, Labour Square, Site Police Station, Binoria Restaurant, Karachi.","+92-21-34242136, +92-21-342420",Email: info@sbbcu.edu.pk Fax: URL:http://www.sbbcu.edu.pk
113,SHAHEED BENAZIR BHUTTO DEWAN UNIVERSITY,Private,Karachi,"Plot # 30-A/1, Sector 23, Korangi Industrial Area, Karachi, 74900-Pakistan.","+92)- (021)-35115008-10, (021)",Email: info@sbbdewanuniversity.edu.pk Fax:+92)-(021)-35115017 URL:http://www.sbbdewanuniversity.edu.pk/
114,SHAHEED BENAZIR BHUTTO UNIVERSITY OF VETERINARY & ANIMAL SCIENCES,Public,Nawabshah,"Main Nawabshah road, Sakrand, District Shaheed Benazirabad",+92-244-322150,Email: info@sbbuvas.edu.pk Fax:0244 322151 URL:http://www.sbbuvas.edu.pk
115,"SHAHEED BENAZIR BHUTTO UNIVERSITY, SHAHEED BENAZIRABAD",Public,Nawabshah,"SHAHEED BENAZIR BHUTTO UNIVERSITY, SHAHEED BENAZIRABAD, Pakistan 67450","+92-244-9370520, +92-244-93705",Email: info@sbbusba.edu.pk Fax:+92-244-9370521 URL:http://www.sbbusba.edu.pk/
116,SHAHEED BENAZIR BHUTTO WOMEN UNIVERSITY,Public,Peshawar,"Shaheed Benazir Bhutto Women University, Opposite Fort Balahisar near LRH, Peshawar Pakistan.","+92-91-9212422, +92-91-922 477",Email: info@sbbwu.edu.pk Fax:+92-91-9224707 URL:http://www.sbbwu.edu.pk
117,SHAHEED MOHTARMA BENAZIR BHUTTO MEDICAL UNIVERSITY,Public,Larkana,"Shaheed Mohtarma Benazir Bhutto Medical University Larkana, Sindh, Pakistan","+92-74-9410724, +92-74-9410908","Email: registrar@smbbmu.edu.pk Fax:+92-74-9410910, +92- URL:http://www.smbbmu.edu.pk"
118,SHAHEED ZULFIKAR ALI BHUTTO INSTITUTE OF SCIENCE & TECHNOLOGY,Private,Karachi,"SZABIST 90 and 100 Clifton, Karachi 75600, Pakistan",(92-21) 111-922-478,Email: info@szabist.edu.pk Fax: (92-21) 35830446 URL:http://www.szabist.edu.pk
119,SHAHEED ZULFIQAR ALI BHUTTO MEDICAL UNIVERSITY,Public,Islamabad,"Shaheed Zulfiqar Ali Bhutto Medical University (SZABMU), PIMS, G-8/3, Islamabad, 44000",(92) (51) (9107) 687,Email: info@szabmu.edu.pk Fax:(92) (51) (9107) 687 URL:http://www.szabmu.edu.pk/
120,SHAHEED ZULFIQAR ALI BHUTTO UNIVERSITY OF LAW,Public,Karachi,"Chaudry Khaliq-uz-Zaman Road, Near Lilly Bridge, Clifton, Karachi.",+92-21-99206452-53,Email: info@szabul.edu.pk Fax:021-99206425 URL:http://www.szabul.edu.pk
121,SHIFA TAMEER-E-MILLAT UNIVERSITY,Private,Islamabad,"Shifa Tameer-e-Millat University Pitras Bukhari Road, H-8/4 Islamabad 44000 Pakistan","+92-51-8464214, +92-51-8464215",Email: info@stmu.edu.pk Fax:+92-51-486-3264 URL:http://www.stmu.edu.pk/
122,UNIVERSITY OF TECHNOLOGY (SHUHADA-E-ARMY PUBLIC SCHOOL),Public,Nowshera,"Ex-Adamjee Paper and Board Mills, Amangarh, Nowshera. 24100",0923-560301,Email: samibangash@uotnowshera.edu.pk Fax: URL:http://uotnowshera.edu.pk/
123,SINDH AGRICULTURE UNIVERSITY,Public,Hyderabad,"Sindh Agriculture Univeristy, Tandojam Hyderabad, Sindh Pakistan Postal Code: 70060",+ 92-22-2765870,Email: info@sau.edu.pk Fax:92-22-2765300 URL:http://www.sau.edu.pk
124,SINDH INSTITUTE OF MANAGEMENT & TECHNOLOGY,Private,Karachi,"ST-25, BLOCK 14, GULISTAN-E-JOHAR, KARACHI",021 111-746-746,Email: info@simt.edu.pk Fax: URL:http://www.simat.edu.pk
125,SINDH INSTITUTE OF MEDICAL SCIENCES,Private,Karachi,"Civil Hospital Karachi 74200, Pakistan",(92-21) 99215752 & 99215718,"Email: info@siut.org Fax: (92-21) 99215469 , URL:http://www.siut.org"
126,SINDH MADRESATUL ISLAM UNIVERSITY,Public,Karachi,"Aiwan-e-Tijarat Road, Karachi-74000, Pakistan.","+92-21-99211274, +92-21-992112",Email: info@smiu.edu.pk Fax:+92 21 99217504 URL:http://www.smiu.edu.pk
127,SIR SYED UNIVERSITY OF ENGINEERING & TECHNOLOGY,Private,Karachi,"Main University Road, Karachi 75300, Pakistan",+92 21 3498-8000,Email: info@ssuet.edu.pk Fax:+92 21 3498238 URL:http://www.ssuet.edu.pk
128,SUKKUR INSTITUTE OF BUSINESS ADMINISTRATION,Public,Sukkur,"Main Campus, Airport Road, Sukkur",071-5644000-05,Email: shoukat.abbasi@iba-suk.edu.pk Fax:92-71-5804419 URL:http://www.iba-suk.edu.pk
129,TEXTILE INSTITUTE OF PAKISTAN,Private,Karachi,"203, Aamir Trade Centre Plot No. 233/1-A, Block 2, PECHS, Shara-e-Quaideen, Karachi. Pakistan.",(92-21) 34549734 / 34549870,Email: info@tip.edu.pk Fax:(92-21) 34533525 URL:http://tip.edu.pk/
130,THE SUPERIOR COLLEGE,Private,Lahore,"Main Raiwind Road, Lahore","042-111-00-00-78 , 042-3810-42",Email: info@superior.edu.pk Fax: URL:http://www.superior.edu.pk
131,THE UNIVERSITY OF FAISALABAD,Private,Faisalabad,"Sargodha Road, University Town, Faisalabad",+92 041-8868326-30,Email: info@tuf.edu.pk Fax:+92 041 8868220 URL:http://www.tuf.edu.pk
132,THE WOMEN UNIVERSITY,Public,Multan,"The Women University Multan Address: Kutchery Campus, L.M.Q. Road, Multan",061-9200811,Email: info@wum.edu.pk Fax:061-4500950 URL:http://www.wum.edu.pk
133,UNIVERSITY OF AGRICULTURE,Public,Faisalabad,"University of Agriculture University Main Rd، Faisalabad, Pakistan.",+92 41 9200161-70,Email: contact_us@uaf.edu.pk Fax: +92 41 9200764 URL:http://www.uaf.edu.pk
134,UNIVERSITY OF AZAD JAMMU & KASHMIR,Public,Muzaffarabad,"University of Azad Jammu & Kashmir, Administration Block, Challa Campus Muzaffarabad, Azad Kashmir",+92-5822-960466-470,Email: info@ajku.edu.pk Fax: URL:http://www.ajku.edu.pk
135,UNIVERSITY OF BALOCHISTAN,Public,Quetta,"University of Balochistan, Sariab Road Quetta.",+92-81-9211124,Email: registrar@um.uob.edu.pk Fax:081-9211-277 URL:http://www.uob.edu.pk
136,UNIVERSITY OF CENTRAL PUNJAB,Private,Lahore,"Khayaban-e-Jinnah Road, Johar Town, Lahore.","+92-42-35954890, +92-42-358800",Email: info@ucp.edu.pk Fax:+92-42-35954892 URL:http://www.ucp.edu.pk
137,UNIVERSITY OF EDUCATION,Public,Lahore,"College Road, Township, Lahore.",+92-42-99262223-4,Email: registrar@ue.edu.pk Fax: URL:http://www.ue.edu.pk
138,UNIVERSITY OF ENGINEERING & TECHNOLOGY,Public,Peshawar,"University of Engineering & Technology, Peshawar, Pakistan",(+92-91)9216796-8,Email: registrar@uetpeshawar.edu.pk Fax:(+92-91) 9216663 URL:http://www.uetpeshawar.edu.pk
139,UNIVERSITY OF ENGINEERING & TECHNOLOGY,Public,Lahore,"UNIVERSITY OF ENGINEERING & TECHNOLOGY, G.T. Rd, Lahore 54890, Pakistan","+92-42-99250201, +92-42-990292",Email: registrar@uet.edu.pk Fax: URL:http://www.uet.edu.pk
140,UNIVERSITY OF ENGINEERING & TECHNOLOGY,Public,Taxila,University of Engg. & Technology (UET) Taxila.,+92 51-9047-400,Email: nfo@uettaxila.edu.pk Fax:+92 51-9047-420 URL:http://www.uettaxila.edu.pk
141,UNIVERSITY OF FATA,Public,Kohat,"Govt Degree College Darra Adam Khel Akhurwal F.R Kohat N-55, Pakistan.","+92-91-9218182, +92-91-9216427",Email: info@fu.edu.pk Fax: URL:http://www.fu.edu.pk/
142,UNIVERSITY OF GUJRAT,Public,Gujrat,"University of Gujrat Hafiz Hayat Campus Jalalpur Road Gujrat, Pakistan.",+92 (53) 3643112,Email: info@uog.edu.pk Fax: URL:http://www.uog.edu.pk
143,UNIVERSITY OF HEALTH SCIENCES,Public,Lahore,"University of Health Sciences, Khayaban-e-Jamia Punjab, Lahore-54600","+92-42-99231304-09, +92-42-111",Email: info@uhs.edu.pk Fax:042-9230870 URL:http://www.uhs.edu.pk
144,UNIVERSITY OF KARACHI,Public,Karachi,"University of Karachi Main University Road Karachi - 75270 Sindh, Pakistan",92.21.99261300-07,Email: info@uok.edu.pk Fax:92.21.99261330 URL:http://www.uok.edu.pk
145,UNIVERSITY OF LAHORE,Private,Lahore,"UNIVERSITY OF LAHORE,1-K.M, Raiwind Road, Lahore.",+92 42 111-865-865,Email: info@uol.edu.pk Fax: URL:http://www.uol.edu.pk
146,UNIVERSITY OF MANAGEMENT & TECHNOLOGY,Private,Lahore,"University of Management and Technology , C-II Johar Town Lahore",+92 42 35212801-10,Email: admissions@umt.edu.pk Fax:+92 42 35184789 URL:http://www.umt.edu.pk
147,UNIVERSITY OF PESHAWAR,Public,Peshawar,"Old Jamrud Road, Peshawar.",+92-91-9216701,Email: registrar@uop.edu.pk Fax:+92-91-9216736 URL:http://www.uop.edu.pk/
148,UNIVERSITY OF SARGODHA,Public,Sargodha,"University of Sargodha, University Road Sargodha 40100 Punjab,Pakistan",+92-48-9230811-15,Email: info@uos.edu.pk Fax: URL:http://www.uos.edu.pk
149,UNIVERSITY OF SCIENCE & TECHNOLOGY,Public,Bunnu,"University of Science & Technology, Bannu, Khyber Pakhtunkhawa (KPK), (Pakistan)",+92-928-633817-18,Email: registrar@ustb.edu.pk Fax:+92-928-633821 URL:http://www.ustb.edu.pk
150,UNIVERSITY OF SINDH,Public,Jamshoro,"Allama I.I.Kazi Campus, University of Sindh, Jamshoro-76080, Sindh, Pakistan.",+92-22-9213-181-90,Email: info@usindh.edu.pk Fax:+92-22-9213-246 URL:http://www.usindh.edu.pk
151,UNIVERSITY OF SOUTH ASIA,Private,Lahore,"47-Tufail Road, Lahore Cantt.","+92-42-36672943, +92-42-366 50","Email: help@usa.edu.pk Fax: URL:+92-42-36672943, +92-42-366 50983"
152,UNIVERSITY OF SWABI,Public,Swabi,"University of Swabi, Khyber Pakhtunkhwa",+92-938-490238,Email: adminofficer@uoswabi.edu.pk Fax:0938490238 URL:http://www.uoswabi.edu.pk
153,UNIVERSITY OF SWAT,Public,Swat,"G.T Road, Odigram, Swat, Khyber Pakhtunkhwa.",+92-946-924 00060946,Email: registrar@uswat.edu.pk Fax: URL:http://www.uswat.edu.pk/
154,UNIVERSITY OF VETERINARY & ANIMAL SCIENCES,Public,Lahore,"University of Veterinary and Animal Sciences - UVAS Syed Abdul Qadir Jillani (Out Fall) Road, Lahore - Pakistan","92-42-99211374, 99211449",Email: helpline@uvas.edu.pk Fax:92-42-9211461 URL:http://www.uvas.edu.pk
155,UNIVERSITY OF WAH,Private,Wah Cantt,"Quaid Avenue, The Mall. Wah Cantt.","051-9157000, 051-451425256-7",Email: info@uow.edu.pk Fax:051-9314311 URL:http://www.uow.edu.pk/
156,UNIVERSITY OF THE PUNJAB,Public,Lahore,"P.O. Box No. 54590. Lahore, Pakistan.","+92-42-99231098-9, +92-42-3584",Email: registrar@pu.edu.pk Fax:92-55-9201223 URL:http://www.pu.edu.pk
157,VIRTUAL UNIVERSITY OF PAKISTAN,Public,Lahore,"M.A. Jinnah Campus, Defence Road, Off Raiwind Road, Lahore, Pakistan.",+92-42-99203901,Email: registrar@vu.edu.pk Fax:+92-42-99200604 URL:http://www.vu.edu.pk/
158,WOMEN UNIVERSITY MARDAN,Public,Mardan,http://www.wumardan.edu.pk,(0937) 871 416,Email: pstovc@wumardan.edu.pk Fax: URL:http://www.wumardan.edu.pk
159,"WOMEN UNIVERSITY, SWABI",Public,Swabi,"WOMEN UNIVERSITY, SWABI",+92 0938-224222,Email: info@wus.edu.pk Fax: URL:http://www.wus.edu.pk/
160,ZIA-UD-DIN UNIVERSITY,Private,Karachi,"4/B, Shahra-e-Ghalib, Block 6, Clifton, Karachi 75600.",(9221) 35862937-9,Email: info@zu.edu.pk Fax:(9221) 35862940 URL:ZIA-UD-DIN UNIVERSITY
161,LAHORE SCHOOL OF ECONOMICS,Private,Lahore,"Intersection Main Boulevard Phase VI DHA, Burki 53200, Lahore.",+ 92 42 36560675,Email: qaisar@lahoreschool.edu.pk Fax:+ 92 42 36560905 URL:http://www.lahoreschoolofeconomics.edu.pk
162,"LASBELA UNIVERSITY OF AGRICULTURE, WATER & MARINE SCIENCES",Public,Lasbela,"Lasbela University of Agriculture, Water and Marine Sciences, Uthal, District Lasbela",0853-610846,Email: pvc@luawms.edu.pk Fax:0853-610294 URL:http://www.luawms.edu.pk/
163,UNIVERSITY OF TURBAT,Public,Jazan,"Overseas Colony, Airport Road, Turbat Balochistan.",+92-85-414498,Email: registrar@uot.edu.pk Fax:http://www.uot.edu.p URL:http://www.uot.edu.pk
164,Aga Khan University,Private,Karachi,"First Floor, Juma Building The Aga Khan University P.O. Box 3500, Stadium Road, Karachi 74800, Pakistan",+92 21 3493 0051,"Email: mc.ea@aku.edu Fax:+92 21 3493 4294, 34 URL:https://www.aku.edu/"
165,Al-Khair University (Banned by HEC),Private,Muzzaffarabad,"University Road, Bhimber (AJK)",05828-454085,Email: info@alkhair.edu.pk Fax: URL:http://alkhair.edu.pk
166,Barret Hodgson University,Private,Karachi,"The Salim Habib Campus, NC-24, Deh Dih, Korangi Creek, Karachi",92 21 35122931-35,Email: info@bhu.edu.pk Fax: URL:http://www.bhu.edu.pk/
167,Fatima Jinnah Women University,Public,Rawalpindi,"The Mall, Old Presidency, Rawalpindi","+92-51-9292901,+92-51-9292902",Email: bhs@fjwu.edu.pk Fax:+92 (0)51 9292903 URL:http://www.fjwu.edu.pk
168,Gambat Institute of Medical Sciences,Public,Khairpur,"Gambat Institute of Medical Sciences, Gambat Station Road, Pakistan.",92-243-640160,Email: mailus@gims.edu.pk Fax: URL:http://www.gims.edu.pk/
169,"Global Institute, Lahore [HEC-NOC SUSPENDED]",Private,Lahore,"3-Aurangzeb Block, New Garden Town, Lahore.",+92-42-35857924-6,Email: info@global.edu.pk Fax:+92-42-5717447 URL:http://global.edu.pk/
170,Imperial College of Business Studies,Private,Lahore,"Canal Bank Road Near Bahria Chowk, Lahore",+92-42-35978525-32,Email: admissions@imperial.edu.pk Fax: URL:http://imperial.edu.pk/
171,Mohi-ud-Din Islamic University,Private,Muzzaffarabad,"Mohi-ud-Din Islamic University, Nerian Sharif AJ&K.",05825-450282-3,Email: info@miu.edu.pk Fax:+92-5827-468777 URL:http://miu.edu.pk/
172,Pakistan Military Academy,Public,Abbottabad,"Kakul Road, Abbottabad Pakistan",92 (0)992 - 363643,Email: missing@pma.edu.pk Fax: URL:http://www.pma.edu.pk
173,PAKISTAN NAVAL ACADEMY,Public,Karachi,"Pakistan Naval Academy Karachi, Pakistan",0347 1891949,Email: email@paknavy.gov.pk Fax: URL:http://www.paknavy.gov.pk
174,"Preston Institute of Management, Science & Technology (Banned for admissions w.e.f 10-06-2017)",Private,Karachi,"177/2, IEP Building, Karachi, Pakistan",0921-32789888-90,Email: admissions@pimsat-khi.edu.pk Fax: URL:https://pimsat-khi.edu.pk
175,"Shuhada-e-Army Public School University of Technology, Nowshera",Public,Nowshera,"Ex-Adamjee Paper and Board Mills, Amangarh, Nowshera.",0923-560301,Email: missing@uotnowshera.edu.pk Fax: URL:http://uotnowshera.edu.pk/
176,University of Kotli Azad Jammu and Kashmir,Public,Muzzaffarabad,"Kotli, Azad Kashmir,",+92-5826-960042,Email: vice.chancellor@uokajk.edu.pk Fax:(+92) 5826 960049 URL:http://www.uokajk.edu.pk
177,"University of Baltistan, Skardu",Public,Skardu,"University of Baltistan, Skardu",05815-960070,Email: info@kiu.edu.pk Fax:05815-960256 URL:https://www.kiu.edu.pk/page/skardu-campus
178,University of Loralai,Public,Lasbela,"College Road, Loralai at Loralai Zhob Division, Balochistan.",(0824) 410782,Email: info@uoli.edu.pk Fax: URL:http://www.uoli.edu.pk/
179,University of Malakand,Public,Mardan,"Chakdara, Dir, Lower, Malakand Khyber Pakhtunkhwa",0945-763023 Ext 3011,Email: missinginfo@uom.edu.pk Fax:0945-761624 URL:http://www.uom.edu.pk
180,University of Poonch,Public,Rawalakot,"B-65, Housing Scheme, Rawalakot (Azad Kashmir)",+92 5824-960053,Email: registrar@upr.edu.pk Fax:92 5824-960054 URL:http://www.upr.edu.pk/
181,Women University of Azad Jammu & Kashmir,Public,Mirpur (AK),"Women University of Azad Jammu & Kashmir, Bagh",058-23-960044,Email: info@wuajk.edu.pk Fax: URL:http://www.wuajk.edu.pk/
182,Shaheed Benazir Bhutto University,Public,Amilcar,"Sheringal, Upper Dir, Khyber Pakhtunkhwa",+92-944-885529,Email: registrar@sbbu.edu.pk Fax:+92-944-885805 URL:http://www.sbbu.edu.pk
183,Khushal Khan Khattak University,Public,testcity,"Opposite Tableghi markaz, Karak.","+92-927- 291018, 291026",Email: vc@kkkuk.edu.pk Fax: +92-927-291035 URL:http://www.kkkuk.edu.pk/
184,"Benazir Bhutto Shaheed University of Technology & Skill Development, Khairpur Mirs",Public,Khairpur,Station Road Near Mil Colony Khairpur MiRS Khairpur Khairpur Mirs,0243-9280168,Email: missingemail@bbsut.edu.pk Fax:missing URL:https://www.underprocess.pk/
185,Bacha Khan University,Public,testcity,"Bacha Khan University, Palosa, Charsadda.",091-6540116,Email: webmaster@bkuc.edu.pk Fax: URL:http://www.bkuc.edu.pk/
186,National University of Technology (NUTECH),Public,Islamabad,"National University of Technology (NUTECH), IJP Road, Sector I-12, Islamabad.",+92-51-5476768,Email: info@nutech.edu.pk Fax: URL:https://nutech.edu.pk/
187,ShifaTameer-E-Millat University,Private,Islamabad,"Shifa Tameer-e-Millat University Pitras Bukhari Road, H-8/4 Islamabad",+92-51-8464214,Email: info@stmu.edu.pk Fax: URL:https://stmu.edu.pk/
188,"Cholistan University of Veterinary and Animal Sciences, Bahawalpur",Public,Bahawalpur,"Cholistan University of Veterinary & Animal Sciences, Near DHA, Bahawalpur, Punjab-Pakistan",+92-062- 9255716,Email: registrar@cuvas.edu.pk Fax: URL:http://www.cuvas.edu.pk
189,"Faisalabad Medical University, Faisalabad",Public,Faisalabad,"Sargodha Road, Faisalabad-Punjab Pakistan",+92-41-9210080,Email: vcfmuf@gmail.com Fax: URL:http://www.pmc.edu.pk/
190,Institute for Art and Culture,Private,Lahore,"Mian Riwand Road, Lahore Pakistan",+92-42-32590040-7,Email: info@iac.edu.pk Fax: URL:https://iac.edu.pk/
191,Nishtar Medical University Multan,Public,Multan,"Nishtar Medical University (NMU), Nishtar Road, Gillani Colony, Multan Punjab, Pakistan",+92-61-9200231-35,Email: nishtarmed@gmail.com Fax: URL:http://www.nmch.edu.pk
192,"Punjab Tianjin University of Technology, Lahore",Public,Lahore,"Punjab Tianjin University of Technology (PTUT), Near Green Town Police station, Township, Lahore, Pakistan",+92-42-9933 2438,Email: info@ptut.edu.pk Fax: URL:http://ptut.edu.pk/
193,"Emaan Institute of Management & Sciences, Karachi",Private,Karachi,"E-136, Abul Hassan Asphani Road, Block-07 Gulshan-e-Iqbal, Karachi, 74200, Pakistan",+92-21-34999200-2,Email: info@emaan.edu.pk Fax: URL:http://www.emaan.edu.pk
194,"GOVERNMENT COLLEGE UNIVERSITY, HYDERABAD",Public,Hyderabad,"Opposite Pinyari Police Station, Kali Mori, Hyderabad Sindh, Pakistan",+92-22-2111877,Email: info@gcuh.edu.pk Fax: URL:http://www.gcuh.edu.pk
195,ILMA University,Private,Karachi,"Main Ibrahim Hydri Road, Korangi Creek, Karachi.",+92-21-35120462,Email: info@ilmauniversity.edu.pk Fax: URL:http://www.ibt.edu.pk
196,Sohail University,Private,Karachi,"Sohail University, 22-23 Shaheed-e-Millat Road, Karachi-Sindh",+92-21-34931886-9,Email: baqarnawab@hotmail.com Fax: URL:http://www.sohailuniversity.edu.pk
197,Abottabad University of Science And Technology (AUST),Public,Abbottabad,"Captain Akaash Rabbani Shaheed Road, Tehsil Havelian, District Abbottabad, Khyber Pakhtunkhwa",+92-992-402117,Email: info@aust.edu.pk Fax: URL:http://aust.edu.pk
198,"The University of Agriculture, Peshawar",Public,Peshawar,"The University of Agriculture, Peshawar Pakistan",+92-91-9221263,Email: registrar@aup.edu.pk Fax:+92-91-9221262 URL:http://www.aup.edu.pk/
199,"University of Engineering & Technology (UET), Mardan",Public,Mardan,"University of Engineering & Technology (UET), Mardan",+92-937-9230295,Email: registrar@uetmardan.edu.pk Fax: URL:http://www.uetmardan.edu.pk
200,University of Science & Technology,Public,Bunnu,"Main Campus Township, Bannu.",+92-928-633823,Email: registrar@ustb.edu.pk Fax: URL:https://www.ustb.edu.pk/
201,Brains Institute Peshawar,Private,Peshawar,"Phase III Chowk, Jamrud Road, Peshawar",+92-91-5611637,Email: info@brains.edu.pk Fax: URL:http://brains.edu.pk
202,"The Bolan University of Medical and Health Sciences, Quetta",Public,Quetta,"The Bolan University of Medical & Health Sciences. Brewery Road,Quetta Balochistan, Pakistan",+92-81-9213070,Email: registrar@bumhs.edu.pk Fax: URL:http://www.bumhs.edu.pk/
203,"University of Sufism and Modern Sciences, Bhitshah Sindh",Public,Bhit Shah,Mian Campus; Bhit Shah,+92-22-2762415,Email: dep.registrar@usms.edu.pk Fax: URL:http://usms.edu.pk/
204,Shaheed Benazir Bhutto University,Public,Upper Dir,"Sheringal, Upper Dir, Khyber Pakhtunkhwa",+92-944-885527,Email: registrar@sbbu.edu.pk Fax:+92-944 - 885805 URL:https://sbbu.edu.pk/
205,The University of Lakki Marwat,Public,Lakki Marwat,"The University of Lakki Marwat GPGC (Boys), District Lakki Marwat Khyber Pakhtunkhwa",+92-969-511819,Email: ulm_2017@outlook.com Fax: URL:http://www.ulm.edu.pk
206,University of Buner,Public,Buner,"University of Buner Sowari, Buner, Khyber Pakhtunkhwa",+92-939-555211,Email: registrar@ubuner.edu.pk Fax: URL:https://www.ubuner.edu.pk/
207,University of Chitral,Public,Chitral,"University of Chitral Seen, Lasht Chitral, Khyber Pakhtunkhwa",+92-943-412401,Email: registrar@uoch.edu.pk Fax: URL:http://www.uoch.edu.pk
208,University of Haripur,Public,Haripur,"Hattar Road, Near Swat Chowk, Tehsil & District Haripur.",+92-995-615393,Email: registrar@uoh.edu.pk Fax: URL:http://www.uoh.edu.pk/
209,"Pak-Austria Fachhochschule Institute of Applied Sciences and Technology, Haripur",Public,Haripur,"Mang, Haripur-Khyber Pakhtunkhwa Pakistan",+92-995-645112-18,Email: info@paf-iast.edu.pk Fax: URL:https://www.paf-iast.edu.pk/
